page,person_or_pin,claim,citation_on_page,provenance,how_i_know,flag
"index.html","johnLarmannSr","BEFORE THE UNION CARD — a motor repairer at twenty-two, living with his parents","United States Census, 1950 — New Orleans, Orleans Parish, ED 36-460, page 77, line 5 (NARA T628); household at 1607 Piety Street","F archival reference, inherited","real archive ref; I did NOT open it","FLAG"
"index.html","johnLarmannSr","WHY HE IS NOT IN THE ARCHDIOCESE'S DATABASE — and why that proves nothing about him","Archdiocese of New Orleans, Catholic Cemeteries burial search (nolacatholiccem.discovereverafter.com), tested 12 August 2026 against 173 sampled St. Vincent burials and eight family surnames","D fetched online source","named index/site reached this session",""
"index.html","johnLarmannSr","Louisiana marriage record","[UNVERIFIED — not re-checked in the August 2026 audit; see the claims ledger] Orleans Parish, July 1947 — p. 3644","H UNVERIFIED","no source I personally opened","FLAG"
"index.html","johnLarmannSr","THE CHURCH — St. Cecilia, in the Bywater","Family testimony (Kevin Pedeaux, August 2026); parish history and closure from the Archdiocese of New Orleans","B transcription supplied by Kevin or family papers","told to me, or scans Kevin provided",""
"index.html","johnLarmannSr","OCCUPATION FIELD: Electrician, IBEW Local 130 — retired 1988","(this field carries no citation)","Z general knowledge","asserted without its own citation","FLAG"
"index.html","charlesEmileLarmann","HIS MOTHER WAS IN THAT HOUSE TOO — the 1910 directory, one address, two families","Soards' New Orleans City Directory, 1910, p. 672 and p. 817 (also 1908 p. 754 and p. 762, and 1912)","D fetched online source","named index/site reached this session",""
"index.html","charlesEmileLarmann","WHO THE AUNTS WERE — and one of them taught school for forty years","New Orleans Public Library Obituary Index, 1804–1972 — entry ""MOORE, Leontine Victoria,"" death date 27 March 1947, with the index's own note; obituary cited to the Times-Picayune, 28 March 1947, p. 2, cols. 4 and 8, sec. 1. Sister: ""MOORE, Miss Marie Louise,"" death date 12 May 1948, aged 71 — Times-Picayune, 13 May 1948, p. 2 col. 8, and the Item, 12 May 1948, p. 9 col. 2.","D fetched online source","named index/site reached this session",""
"index.html","charlesEmileLarmann","HIS OWN HOUSE, AND HIS TRADE — 1607 PIETY STREET, APRIL 1950","United States Census, 1950 — New Orleans, Orleans Parish, ED 36-460, page 77, lines 3–7 (NARA T628). House number 1607, dwelling 64; the street is written vertically in column 1 as ""Piety."" Read off the sheet 12 August 2026.","F archival reference, inherited","real archive ref; I did NOT open it","FLAG"
"index.html","charlesEmileLarmann","THE AVENUE CHANGED ITS NAME THREE TIMES — and both enumerators were right","New Orleans Public Library / City Archives, ""Alphabetical Index of Changes in Street Names, Old and New, Period 1852 to Current Date, Dec. 1st 1938"" (nolacityarchives.org/changes-in-street-names) — verified directly, 12 August 2026. Department of Public Works ordinance card catalog, F streets, card ""FRANKLIN AVE. (Franklin Walk)"", transferred to the City Archives 2020.","A document image in this repo","assets/img/franklin-ave-1957-ordinance-card.jpg",""
"index.html","charlesEmileLarmann","THE AUNTS' HOUSE, FOUND — 927 FRANKLIN AVENUE","United States Census, 1910 — New Orleans Ward 9, ED 132, sheet 7A, dwelling 126, family 142 (NARA T624). United States Census, 1940 — New Orleans Ward 9, ED 36-246, Tract 12 part, sheet 11A, line 38, household 255 (NARA T627). Both read off the original images, 12 August 2026; street names confirmed against present-day addressing and the surveyed Franklin Avenue × Burgundy Street intersection.","F archival reference, inherited","real archive ref; I did NOT open it","FLAG"
"index.html","charlesEmileLarmann","Louisiana birth record","[UNVERIFIED — not re-checked in the August 2026 audit; see the claims ledger] Orleans Parish, 12 July 1902 — Vol. 123, p. 485","H UNVERIFIED","no source I personally opened","FLAG"
"index.html","charlesEmileLarmann","Louisiana marriage record","[UNVERIFIED — not re-checked in the August 2026 audit; see the claims ledger] Orleans Parish, August 1924 — Vol. 49, p. 468","H UNVERIFIED","no source I personally opened","FLAG"
"index.html","charlesEmileLarmann","Louisiana death record","[UNVERIFIED — not re-checked in the August 2026 audit; see the claims ledger] Orleans Parish, 13 July 1969 — p. 4760","H UNVERIFIED","no source I personally opened","FLAG"
"index.html","charlesEmileLarmann","Aunt Esther's ledger — his birth and sponsors","Handwritten family record of Esther Marguerite Larmann; photocopy via Judy Larmann Gifford, 2026","B transcription supplied by Kevin or family papers","told to me, or scans Kevin provided",""
"index.html","johannaLemoine","Family record — the flattened generation","Judy Larmann Gifford's handwritten notes, ""Johanna's Family,"" 2026","B transcription supplied by Kevin or family papers","told to me, or scans Kevin provided",""
"index.html","johannaLemoine","Her headstone — the Goubler family tomb","[UNVERIFIED — not re-checked in the August 2026 audit; see the claims ledger] Photographed by the family, August 2026","H UNVERIFIED","no source I personally opened","FLAG"
"index.html","johannaLemoine","The 1910 census — the only Johanna Lemoine in Louisiana","[UNVERIFIED — not re-checked in the August 2026 audit; see the claims ledger] 1910 U.S. census index, Orleans Parish","H UNVERIFIED","no source I personally opened","FLAG"
"index.html","robertLemoine","His headstone — Arlington National Cemetery","Army Cemeteries Explorer, section 34, grave 1964, interred 23 November 1949","F archival reference, inherited","real archive ref; I did NOT open it","FLAG"
"index.html","robertLemoine","Marriage — Orleans Parish, 1906 — the act that names his parents","Louisiana, Parish Marriages, 1787–1958 — Orleans, 22 May 1906, p. 962 (FamilySearch 1:1:QKJH-M2WC); civil index Vol. 27, p. 962","D fetched online source","named index/site reached this session",""
"index.html","robertLemoine","The battleship spoon","[UNVERIFIED — not re-checked in the August 2026 audit; see the claims ledger] Family keepsake, photographed August 2026 — see the research page","H UNVERIFIED","no source I personally opened","FLAG"
"index.html","robertLemoine","HIS SERVICE CARD — the whole war, ship by ship","Louisiana, World War I Service Records, 1917–1920 — Orleans, Navy Records; Louisiana State Archives, via FamilySearch (1:1:Q2TY-5CYY, image 3822 of 6,940)","A document image in this repo","assets/img/lemoine-1913-service-card.jpg",""
"index.html","robertLemoine","Mare Island — the 1930 census, Vallejo, California","United States Census, 1930 — Vallejo, Solano County, California; sheet 4A, line 38 (NARA T626)","F archival reference, inherited","real archive ref; I did NOT open it","FLAG"
"index.html","robertLemoine","Washington, and why he lies at Arlington","[UNVERIFIED — not re-checked in the August 2026 audit; see the claims ledger] United States Census, 1940 — Tract 96, Police Precinct 11, District of Columbia","H UNVERIFIED","no source I personally opened","FLAG"
"index.html","robertLemoine","Where the Utah was, while he was aboard her","[UNVERIFIED — not re-checked in the August 2026 audit; see the claims ledger] Dictionary of American Naval Fighting Ships, ""Utah I (Battleship No. 31),"" Naval History and Heritage Command","H UNVERIFIED","no source I personally opened","FLAG"
"index.html","robertLemoine","OCCUPATION FIELD: Chief commissary steward, United States Navy — a career sailor through the First World War","(this field carries no citation)","Z general knowledge","asserted without its own citation","FLAG"
"index.html","stephenHanley","Named at his daughter's marriage","[UNVERIFIED — not re-checked in the August 2026 audit; see the claims ledger] Louisiana, Parish Marriages, 1787–1958 — Orleans, 22 May 1906, p. 962","H UNVERIFIED","no source I personally opened","FLAG"
"index.html","maryReed","Named at her daughter's marriage","[UNVERIFIED — not re-checked in the August 2026 audit; see the claims ledger] Louisiana, Parish Marriages, 1787–1958 — Orleans, 22 May 1906, p. 962","H UNVERIFIED","no source I personally opened","FLAG"
"index.html","agnesHanley","Marriage — Orleans Parish, 1906, read in full","Louisiana, Parish Marriages, 1787–1958 — Orleans, 22 May 1906, p. 962 (FamilySearch 1:1:QKJH-M2WC); civil index Vol. 27, p. 962","D fetched online source","named index/site reached this session",""
"index.html","agnesHanley","The death of her infant daughter","[UNVERIFIED — not re-checked in the August 2026 audit; see the claims ledger] Louisiana death index, Orleans, 9 November 1909 — Vol. 147, p. 1104","H UNVERIFIED","no source I personally opened","FLAG"
"index.html","agnesHanley","Her own obituary — the record that proves the whole line","New Orleans newspaper, November 1964; clipping kept by the family, via Judy Larmann Gifford","B transcription supplied by Kevin or family papers","told to me, or scans Kevin provided",""
"index.html","anthonyLarmann","WHERE HE LIVED — 922 PORT STREET, read off the same sheet","United States Census, 1900 — Louisiana, Orleans, ED 85, 4th Precinct, New Orleans Ward 9, sheet 14A, line 46; HOUSE 922, dwelling 258, family 267 (NARA T623). Enumerated 12 June 1900 by James C. Garity.","F archival reference, inherited","real archive ref; I did NOT open it","FLAG"
"index.html","anthonyLarmann","WHAT HE DID FOR A LIVING — the 1900 census, read off the sheet","United States Census, 1900 — ED 85, 4th Precinct, New Orleans Ward 9, sheet 14A, LINE 46; house 922, family 267 (NARA T623). FamilySearch image 3:1:S3HY-6SQY-F2.","A document image in this repo","assets/img/larmann-1900-draughtsman.jpg",""
"index.html","anthonyLarmann","His marriage — the act that names his parents","[UNVERIFIED — not re-checked in the August 2026 audit; see the claims ledger] Louisiana, Parish Marriages, 1787–1958 — Orleans, November 1895; civil index Vol. 18, p. 718","H UNVERIFIED","no source I personally opened","FLAG"
"index.html","anthonyLarmann","His own name, written out in his daughters' birth records","[UNVERIFIED — not re-checked in the August 2026 audit; see the claims ledger] Louisiana, Orleans, Birth Records, 1819–1915 — Mary Eugenia Larmann, 20 September 1896, certificate 91; and Louise Frances Larmann, 1897","H UNVERIFIED","no source I personally opened","FLAG"
"index.html","anthonyLarmann","In his father's house, aged eight","[UNVERIFIED — not re-checked in the August 2026 audit; see the claims ledger] United States Census, 1880 — New Orleans, household of J. C. Larman","H UNVERIFIED","no source I personally opened","FLAG"
"index.html","anthonyLarmann","Louisiana death record","[UNVERIFIED — not re-checked in the August 2026 audit; see the claims ledger] Orleans Parish, 12 February 1904 — Vol. 131, p. 1097","H UNVERIFIED","no source I personally opened","FLAG"
"index.html","anthonyLarmann","OCCUPATION FIELD: DRAUGHTSMAN — read off the 1900 census in his own enumerator's hand. The family remembered ""architect""; the record says the man who drew the","(this field carries no citation)","Z general knowledge","asserted without its own citation","FLAG"
"index.html","eugeniaMoore","Louisiana death record","[UNVERIFIED — not re-checked in the August 2026 audit; see the claims ledger] Orleans Parish, 23 February 1921 — Vol. 181, p. 257","H UNVERIFIED","no source I personally opened","FLAG"
"index.html","eugeniaMoore","Aunt Esther's ledger — her dates","Handwritten family record of Esther Marguerite Larmann; photocopy via Judy Larmann Gifford, 2026","B transcription supplied by Kevin or family papers","told to me, or scans Kevin provided",""
"index.html","johnCasparLarmann","His baptism — read in the Gesmold parish register","[UNVERIFIED — not re-checked in the August 2026 audit; see the claims ledger] Katholische Pfarrei St. Petrus, Gesmold (Melle) — Taufen 1846–1852, D1_105, entry 16 of 1846","A document image in this repo","assets/img/gesmold-1846-baptisms.jpg",""
"index.html","johnCasparLarmann","The record that first named his parents","[UNVERIFIED — not re-checked in the August 2026 audit; see the claims ledger] Louisiana Parish Marriages — Orleans, 26 April 1884 (Vol. 10, p. 589)","H UNVERIFIED","no source I personally opened","FLAG"
"index.html","johnCasparLarmann","His death certificate — the parents again, independently","[UNVERIFIED — not re-checked in the August 2026 audit; see the claims ledger] Louisiana, Orleans, Death Records and Certificates — 21 November 1921","H UNVERIFIED","no source I personally opened","FLAG"
"index.html","johnCasparLarmann","First marriage","[UNVERIFIED — not re-checked in the August 2026 audit; see the claims ledger] Orleans Parish, November 1870 — Vol. 1, p. 662","H UNVERIFIED","no source I personally opened","FLAG"
"index.html","johnCasparLarmann","Second marriage","[UNVERIFIED — not re-checked in the August 2026 audit; see the claims ledger] Orleans Parish, April 1884 — Vol. 10, p. 589","H UNVERIFIED","no source I personally opened","FLAG"
"index.html","johnCasparLarmann","The Stauder puzzle, and how it fooled me","U.S. Federal censuses 1860, 1870, 1880 and 1900, Orleans Parish; with research notes by T. Brown in a RootsWeb family file supplied by Judy Gifford, 2026","B transcription supplied by Kevin or family papers","told to me, or scans Kevin provided",""
"index.html","johnCasparLarmann","Her name in her own children's birth records — eight of them","Alphabetical Birth Indexes for Orleans Parish, 1796–1900; transcribed in the RootsWeb family file supplied by Judy Gifford, 2026","B transcription supplied by Kevin or family papers","told to me, or scans Kevin provided",""
"index.html","johnCasparLarmann","Louisiana death record","[UNVERIFIED — not re-checked in the August 2026 audit; see the claims ledger] Orleans Parish, 21 November 1921 — Vol. 183, p. 215","H UNVERIFIED","no source I personally opened","FLAG"
"index.html","johnCasparLarmann","Aunt Esther's ledger — ""Father's Parents""","Handwritten family record of Esther Marguerite Larmann; photocopy via Judy Larmann Gifford, 2026","B transcription supplied by Kevin or family papers","told to me, or scans Kevin provided",""
"index.html","johnCasparLarmann","His brother found — a Larmann branch in Brooklyn","[UNVERIFIED — not re-checked in the August 2026 audit; see the claims ledger] New York City Municipal Deaths — Henry Larmann, 29 November 1938, Brooklyn, certificate 22867","H UNVERIFIED","no source I personally opened","FLAG"
"index.html","johnCasparLarmann","His obituary, in full — Times-Picayune, 23 November 1921","New Orleans Times-Picayune; transcribed in a RootsWeb family file supplied by Judy Gifford, 2026","B transcription supplied by Kevin or family papers","told to me, or scans Kevin provided",""
"index.html","johnCasparLarmann","32 INDEPENDENCE, FOUND ON A FIRE MAP — and the house was already gone","Sanborn Fire Insurance Map from New Orleans, Louisiana, 1893, Vol. IV, plate 148 — Library of Congress, Geography and Map Division, g4014nm g03376189304. Located via the volume's own street index: ""Independence, 1–64 … 148."" Modern block identified from the surveyed Independence × Royal and Independence × Chartres intersections.","A document image in this repo","assets/img/sanborn-1893-independence.jpg",""
"index.html","johnCasparLarmann","FORTY-SIX YEARS OF ADDRESSES — the city directories, and a trade that changed","Soards' New Orleans City Directory and its predecessors: 1876 p. 422; 1878 p. 424; 1883 p. 460; 1884 p. 483; 1908 p. 624; 1910 p. 672; 1912 p. 657. Read in the digitised full-view volumes at HathiTrust, August 2026. With the 1900 census transcription, the November 1921 obituary, and family testimony from John Larmann Sr. via his grandson.","B transcription supplied by Kevin or family papers","told to me, or scans Kevin provided",""
"index.html","johnCasparLarmann","HIS GRAVE, LOCATED — and the walk is named for his own parish priest","Archdiocese of New Orleans, Catholic Cemeteries burial register — St. Roch Cemetery, profile 36953104 (nolacatholiccem.discovereverafter.com/profile/36953104). Searched 12 August 2026. Sons Casper M. and Edward J. are profiles 36953103 and 36953101.","D fetched online source","named index/site reached this session",""
"index.html","johnCasparLarmann","Naturalization — 16 October 1868","[UNVERIFIED — not re-checked in the August 2026 audit; see the claims ledger] Fifth District Court, New Orleans — Minor's Naturalization Book 6, p. 189B","H UNVERIFIED","no source I personally opened","FLAG"
"index.html","johnCasparLarmann","Obituary notices","[UNVERIFIED — not re-checked in the August 2026 audit; see the claims ledger] NOPL obituary index — Times-Picayune, 22 Nov 1921, p. 2 col. 8, and 23 Nov 1921, p. 2 col. 8","H UNVERIFIED","no source I personally opened","FLAG"
"index.html","johnCasparLarmann","OCCUPATION FIELD: Cabinet maker and carpenter — United Brotherhood of Carpenters and Joiners, Local No. 1312","(this field carries no citation)","Z general knowledge","asserted without its own citation","FLAG"
"index.html","johnCasparLarmannSr","Named in his son's baptism — the primary record","[UNVERIFIED — not re-checked in the August 2026 audit; see the claims ledger] Katholische Pfarrei St. Petrus, Gesmold — Taufen 1846–1852, entry 16 of 1846","H UNVERIFIED","no source I personally opened","FLAG"
"index.html","johnCasparLarmannSr","His marriage — Gesmold, 8 November 1843","[UNVERIFIED — not re-checked in the August 2026 audit; see the claims ledger] Katholische Pfarrei St. Petrus, Gesmold — Heiraten 1811–1852, D2_202, last entry of 1843","H UNVERIFIED","no source I personally opened","FLAG"
"index.html","johnCasparLarmannSr","Named on his son's American marriage record","[UNVERIFIED — not re-checked in the August 2026 audit; see the claims ledger] Louisiana Parish Marriages — Orleans, 26 April 1884 (Vol. 10, p. 589)","H UNVERIFIED","no source I personally opened","FLAG"
"index.html","johnCasparLarmannSr","OCCUPATION FIELD: Neubauer zu Weringhof — a new-settler farmer","(this field carries no citation)","Z general knowledge","asserted without its own citation","FLAG"
"index.html","mariaElisabethWerges","Her marriage — Gesmold, 8 November 1843","[UNVERIFIED — not re-checked in the August 2026 audit; see the claims ledger] Katholische Pfarrei St. Petrus, Gesmold — Heiraten 1811–1852, last entry of 1843","H UNVERIFIED","no source I personally opened","FLAG"
"index.html","mariaElisabethWerges","Named on her son's marriage record","[UNVERIFIED — not re-checked in the August 2026 audit; see the claims ledger] Louisiana Parish Marriages — Orleans, 26 April 1884 (Vol. 10, p. 589)","H UNVERIFIED","no source I personally opened","FLAG"
"index.html","johannCasparLaarmann1791","His marriage — Gesmold, 31 January 1815","[UNVERIFIED — not re-checked in the August 2026 audit; see the claims ledger] Katholische Pfarrei St. Petrus, Gesmold — Heiraten 1811–1852, D2_202, second entry of 1815","H UNVERIFIED","no source I personally opened","FLAG"
"index.html","catharinaMariaOrtmann","Her marriage — Gesmold, 31 January 1815","[UNVERIFIED — not re-checked in the August 2026 audit; see the claims ledger] Katholische Pfarrei St. Petrus, Gesmold — Heiraten 1811–1852, second entry of 1815","H UNVERIFIED","no source I personally opened","FLAG"
"index.html","emilyMevers","Marriage — Orleans Parish","[UNVERIFIED — not re-checked in the August 2026 audit; see the claims ledger] Louisiana Parish Marriages — Orleans, 10 November 1870 (Vol. 1, p. 662)","H UNVERIFIED","no source I personally opened","FLAG"
"index.html","emilyMevers","Louisiana death record","[UNVERIFIED — not re-checked in the August 2026 audit; see the claims ledger] Orleans Parish, 11 February 1882 — Vol. 80, p. 272","H UNVERIFIED","no source I personally opened","FLAG"
"index.html","henryMoore","Louisiana marriage record","[UNVERIFIED — not re-checked in the August 2026 audit; see the claims ledger] Orleans Parish, May 1871 — Vol. 2, p. 162","H UNVERIFIED","no source I personally opened","FLAG"
"index.html","henryMoore","Louisiana death record","[UNVERIFIED — not re-checked in the August 2026 audit; see the claims ledger] Orleans Parish, 9 December 1893 — Vol. 105, p. 417","H UNVERIFIED","no source I personally opened","FLAG"
"index.html","valentineGoubler","Louisiana death record — under her maiden name","[UNVERIFIED — not re-checked in the August 2026 audit; see the claims ledger] Orleans Parish, 14 February 1926 — Vol. 192, p. 169","H UNVERIFIED","no source I personally opened","FLAG"
"index.html","valentineGoubler","The old tomb tablet","[UNVERIFIED — not re-checked in the August 2026 audit; see the claims ledger] Goubler family tomb; photographed by the family, August 2026","H UNVERIFIED","no source I personally opened","FLAG"
"index.html","josephGoubler","PVT. EMILE THOMAS GOUBLER — his name is on the arch, and he did not die the way the family thinks","Find a Grave memorial 209296699 (service number, unit and cause); Soldiers of the Great War, Vol. I, pp. 419–422 (Haulsee, Howe & Doyle, 1920), under ""Died of Disease""; Honor States profile 561092; the Ninth Ward Victory Arch plaques as transcribed by the Historical Marker Database; 39th Infantry Division unit history","D fetched online source","named index/site reached this session",""
"index.html","josephGoubler","Louisiana death record","[UNVERIFIED — not re-checked in the August 2026 audit; see the claims ledger] Orleans Parish, 7 November 1892 — Vol. 102, p. 1145","H UNVERIFIED","no source I personally opened","FLAG"
"index.html","josephGoubler","The tomb roster","John Larmann Sr. tomb; typed roster via Judy Larmann Gifford, 2026","B transcription supplied by Kevin or family papers","told to me, or scans Kevin provided",""
"index.html","josephGoubler","The tomb itself","[UNVERIFIED — not re-checked in the August 2026 audit; see the claims ledger] Family photographs, August 2026","H UNVERIFIED","no source I personally opened","FLAG"
"index.html","victoireCirclot","Louisiana death record","[UNVERIFIED — not re-checked in the August 2026 audit; see the claims ledger] Orleans Parish, 23 December 1895 — Vol. 110, p. 79","H UNVERIFIED","no source I personally opened","FLAG"
"index.html","josephLemoine","Named at his son's baptism","[UNVERIFIED — not re-checked in the August 2026 audit; see the claims ledger] Church of St. John the Baptist, Edgard — B7, p. 49; SRANO Vol. 18 (1828–1829)","H UNVERIFIED","no source I personally opened","FLAG"
"index.html","marieRibas","Named at her son's baptism","[UNVERIFIED — not re-checked in the August 2026 audit; see the claims ledger] Church of St. John the Baptist, Edgard — B7, p. 49; SRANO Vol. 18 (1828–1829)","H UNVERIFIED","no source I personally opened","FLAG"
"index.html","marieRibas","The Ribas family she probably belongs to","[UNVERIFIED — not re-checked in the August 2026 audit; see the claims ledger] SRANO Vols. 14 and 16 — St. John the Baptist, Edgard (SJBED, B4, 57 and B4, 165)","H UNVERIFIED","no source I personally opened","FLAG"
"index.html","alexisLemoine","HIS OWN BAPTISM — the record that named his parents","[UNVERIFIED — not re-checked in the August 2026 audit; see the claims ledger] Church of St. John the Baptist, Edgard — Baptismal book 7, p. 49 (SJBED, B7, 49); abstracted in Sacramental Records of the Archdiocese of New Orleans, Vol. 18 (1828–1829)","H UNVERIFIED","no source I personally opened","FLAG"
"index.html","alexisLemoine","Godfather at Poppone's baptism","[UNVERIFIED — not re-checked in the August 2026 audit; see the claims ledger] Church of St. John the Baptist, Edgard — baptism of 21 January 1864","H UNVERIFIED","no source I personally opened","FLAG"
"index.html","alexisLemoine","The 1880 census — his household, with Alonzo in it","[UNVERIFIED — not re-checked in the August 2026 audit; see the claims ledger] 1880 U.S. census, 1st Ward, ED 160, St. John the Baptist Parish, sheet 7B","H UNVERIFIED","no source I personally opened","FLAG"
"index.html","alexisLemoine","OCCUPATION FIELD: Brick mason","(this field carries no citation)","Z general knowledge","asserted without its own citation","FLAG"
"index.html","francoiseMartin","ALICE OR FRANÇOISE? — the priest wrote Alice twice, four years apart","St. John the Baptist Catholic Church, Edgard — baptisms of Louis Alcee Lemoine (born 11 Nov 1863, baptised 1 Feb 1864) and Alfred Florian Lemoine (born 9 Nov 1867, baptised 12 Feb 1868), transcribed from Les Voyageurs, journal of the German-Acadian Coast Historical and Genealogical Society, by Shirley C. Terrio; with the United States Census, 1880, Edgard","D fetched online source","named index/site reached this session",""
"index.html","genevieveRousselle","Her baptismal certificate — the record that proves the line","[UNVERIFIED — not re-checked in the August 2026 audit; see the claims ledger] Church of St. John the Baptist, Edgard, Louisiana; certificate issued 29 July 1936 by Rev. Ernest Milby, pastor","H UNVERIFIED","no source I personally opened","FLAG"
"index.html","genevieveRousselle","The family record — her dates in full","Judy Larmann Gifford's notes, taken down from her father John Larmann Sr., 2026","B transcription supplied by Kevin or family papers","told to me, or scans Kevin provided",""
"index.html","valeryRousselle","The 1880 census — Edgard, St. John the Baptist Parish","[UNVERIFIED — not re-checked in the August 2026 audit; see the claims ledger] 1880 U.S. census, Edgard, St. John the Baptist Parish, Louisiana","H UNVERIFIED","no source I personally opened","FLAG"
"index.html","valeryRousselle","His wife named in his children's records","[UNVERIFIED — not re-checked in the August 2026 audit; see the claims ledger] Louisiana Parish Marriages and Deaths — entries for Ozeme Joseph and Leo Rousselle","H UNVERIFIED","no source I personally opened","FLAG"
"index.html","henryJohnWellmeyer","SENTINEL OF PELICAN LODGE NO. 62 — he was a union man","The Herald (New Orleans), 23 January 1913, p. 4 — installation of officers, Pelican Lodge No. 62, International Association of Machinists, at Pythian Hall (Chronicling America)","D fetched online source","named index/site reached this session",""
"index.html","henryJohnWellmeyer","HIS 1942 DRAFT CARD — and the word under EMPLOYER","United States, World War II Draft Registration Cards, Fourth Registration — NARA RG 147, Local Board No. 4, Orleans Parish, 4621 Canal St., registered 27 April 1942","F archival reference, inherited","real archive ref; I did NOT open it","FLAG"
"index.html","henryJohnWellmeyer","LABOURER TO MACHINIST IN FOUR YEARS — three directories, three addresses","Soards' New Orleans City Directory, 1908 p. 1100, 1910 p. 1177, and 1912","D fetched online source","named index/site reached this session",""
"index.html","henryJohnWellmeyer","Louisiana birth record","[UNVERIFIED — not re-checked in the August 2026 audit; see the claims ledger] Orleans Parish, 13 March 1886 — Vol. 83, p. 968","H UNVERIFIED","no source I personally opened","FLAG"
"index.html","henryJohnWellmeyer","Louisiana marriage record","[UNVERIFIED — not re-checked in the August 2026 audit; see the claims ledger] Orleans Parish, 1910 — Vol. 32, p. 303","H UNVERIFIED","no source I personally opened","FLAG"
"index.html","henryJohnWellmeyer","OCCUPATION FIELD: Labourer in 1908; MACHINIST from 1910 onward — the city directories catch the change.","(this field carries no citation)","Z general knowledge","asserted without its own citation","FLAG"
"index.html","berthaSander","TWO CORRECTIONS FROM THE STATE INDEXES — her birthday and her death date","Louisiana, Orleans Parish birth index, Volume 83, p. 27; Louisiana death index, Orleans, Volume 0, p. 2306; New Orleans Public Library Obituary Index","D fetched online source","named index/site reached this session",""
"index.html","louisSander","Louisiana marriage record","[UNVERIFIED — not re-checked in the August 2026 audit; see the claims ledger] Orleans Parish, June 1872 — Vol. 3, p. 109","H UNVERIFIED","no source I personally opened","FLAG"
"index.html","louisSander","Louisiana death record","[UNVERIFIED — not re-checked in the August 2026 audit; see the claims ledger] Orleans Parish, 12 November 1914 — Vol. 161, p. 1051","H UNVERIFIED","no source I personally opened","FLAG"
"index.html","johnWellmeyer","Louisiana marriage record","[UNVERIFIED — not re-checked in the August 2026 audit; see the claims ledger] Orleans Parish, January 1883 — Vol. 9, p. 738","H UNVERIFIED","no source I personally opened","FLAG"
"index.html","johnWellmeyer","Louisiana death record","[UNVERIFIED — not re-checked in the August 2026 audit; see the claims ledger] Orleans Parish, 15 December 1922 — Vol. 186, p. 121","H UNVERIFIED","no source I personally opened","FLAG"
"index.html","henryBernardWellmeyer","A WELLMEYER ON STAGE AT HOLY TRINITY, 1877 — the same parish, four generations early","The Morning Star and Catholic Messenger, New Orleans, 28 October 1877, p. 5, and 9 December 1877, p. 5 (Chronicling America)","D fetched online source","named index/site reached this session",""
"index.html","henryBernardWellmeyer","HE SIGNED A POLITICAL PETITION IN 1872, AND SAT ON A JURY IN 1880","New Orleans Republican, 23 June 1872, p. 2 (Chronicling America). New Orleans Daily Democrat, 7 January 1880, p. 2, and 26 June 1878, p. 3.","D fetched online source","named index/site reached this session",""
"index.html","henryBernardWellmeyer","THE SUPREME COURT OF LOUISIANA SETTLED HIS ESTATE — and his son sued it for wages","Succession of Bernard Wellmeyer, No. 8343, 34 La. Ann. 819 (Supreme Court of Louisiana, May 1882). Full opinion, Caselaw Access Project.","D fetched online source","named index/site reached this session",""
"index.html","henryBernardWellmeyer","THE SHOP, AND WHAT HE DID BEFORE IT — Clouet at North Rampart","Gardner's New Orleans directories 1861 and 1866; Soards' 1875 (pp. 701 and 797), 1878 and 1883; Polk's 1876 and 1884","D fetched online source","named index/site reached this session",""
"index.html","henryBernardWellmeyer","The 1880 census — taken weeks before his death","New Orleans, ED 62, sheet 165C — NARA T9","F archival reference, inherited","real archive ref; I did NOT open it","FLAG"
"index.html","henryBernardWellmeyer","Louisiana death record","[UNVERIFIED — not re-checked in the August 2026 audit; see the claims ledger] Orleans Parish, 23 September 1880 — Vol. 77, p. 470","H UNVERIFIED","no source I personally opened","FLAG"
"index.html","henryBernardWellmeyer","Birth of his son Louis — the couple named together","[UNVERIFIED — not re-checked in the August 2026 audit; see the claims ledger] Orleans Parish, 2 February 1864 — Vol. 36, p. 376","H UNVERIFIED","no source I personally opened","FLAG"
"index.html","henryBernardWellmeyer","OCCUPATION FIELD: Grocer","(this field carries no citation)","Z general knowledge","asserted without its own citation","FLAG"
"index.html","carolineLobmeyer","Louisiana death record","[UNVERIFIED — not re-checked in the August 2026 audit; see the claims ledger] Orleans Parish, 7 December 1903 — Vol. 131, p. 367","H UNVERIFIED","no source I personally opened","FLAG"
"map.html","bas-de-la-fosse","Le bas de la Fosse, Nantes","Sandrine Dosseul, ""Le quartier de la Fosse à Nantes aux XVIe et XVIIe siècles,"" Mémoires de la Société d'Histoire et d'Archéologie de Bretagne, t. 76 (1998), pp. 215–230; Patrimonia Nantes. ONE HONEST LIMIT: Dosseul's evidence is sixteenth and seventeenth century, one to two generations before Michel. The geography of the phrase is settled; its social character is continuity, not proof. Pin is the quay's western terminus at the place de Jacksonville.","D fetched online source","https://m.shabretagne.com/scripts/files/6698cd66847564.52033787/1998_10.pdf | https://patrimonia.nantes.fr/home/decouvrir/themes-et-quartiers/fosse.html",""
